Date,SP500_Return,CPI,Unemployment,FedRate,Inflation,Returns_Lag1,Returns_Lag2,Returns_MA3,Returns_Vol3
1990-04-30,-0.02688714062127162,128.9,5.4,8.26,0.2332814930015692,0.024254986404143253,0.008539042758088922,0.001968962846986851,0.026196445401993337
1990-05-31,0.09198919079889456,129.1,5.4,8.18,0.15515903801395226,-0.02688714062127162,0.024254986404143253,0.02978567886058873,0.05963083902030169
1990-06-30,-0.008886365681221697,129.9,5.2,8.29,0.6196746707978429,0.09198919079889456,-0.02688714062127162,0.018738561498800415,0.06407220921940682
1990-07-31,-0.005223158411739148,130.5,5.5,8.15,0.4618937644341736,-0.008886365681221697,0.09198919079889456,0.025959888901977906,0.05721237893690856
1990-08-31,-0.09431418479162912,131.6,5.7,8.13,0.8429118773946254,-0.005223158411739148,-0.008886365681221697,-0.03614123629486332,0.05041253539032054
1990-09-30,-0.051184306456431905,132.5,5.9,8.2,0.6838905775075954,-0.09431418479162912,-0.005223158411739148,-0.05024054988660006,0.044553010590788214
1990-10-31,-0.006698212301042394,133.4,5.9,8.11,0.6792452830188811,-0.051184306456431905,-0.09431418479162912,-0.050732234516367804,0.04380973562630863
1990-11-30,0.05993421454178649,133.7,6.2,7.81,0.2248875562218755,-0.006698212301042394,-0.051184306456431905,0.0006838985947707302,0.05592587145647743
1990-12-31,0.024827757338752088,134.2,6.3,7.31,0.37397157816005944,0.05993421454178649,-0.006698212301042394,0.026021253193165395,0.033332242663929944
1991-01-31,0.0415177499981747,134.7,6.4,6.91,0.37257824143070994,0.024827757338752088,0.05993421454178649,0.04209324062623776,0.017560302572403538
1991-02-28,0.06728117681278034,134.8,6.6,6.25,0.07423904974017681,0.0415177499981747,0.024827757338752088,0.04454222804990238,0.021387702234543254
1991-03-31,0.022202832522042026,134.8,6.8,6.12,0.0,0.06728117681278034,0.0415177499981747,0.043667253110999026,0.022615913727342864
1991-04-30,0.0003197993624997064,135.1,6.7,5.91,0.2225519287833766,0.022202832522042026,0.06728117681278034,0.02993460289910736,0.03414369227811319
1991-05-31,0.0386049724936075,135.6,6.9,5.78,0.37009622501851247,0.0003197993624997064,0.022202832522042026,0.020375868126049745,0.01920786218187468
1991-06-30,-0.04789262897479862,136.0,6.9,5.9,0.2949852507374784,0.0386049724936075,0.0003197993624997064,-0.002989285706230471,0.043343641955203446
1991-07-31,0.04485934295776639,136.2,6.8,5.82,0.14705882352941124,-0.04789262897479862,0.0386049724936075,0.01185722882552509,0.051839303793983514
1991-08-31,0.019648784624321625,136.6,6.9,5.66,0.2936857562408246,0.04485934295776639,-0.04789262897479862,0.005538499535763131,0.04795891140658979
1991-09-30,-0.019143735843086374,137.0,6.9,5.45,0.2928257686676483,0.019648784624321625,0.04485934295776639,0.015121463913000547,0.03224082813164714
1991-10-31,0.011834236654519215,137.2,7.0,5.21,0.14598540145984717,-0.019143735843086374,0.019648784624321625,0.0041130951452514886,0.020516503861724822
1991-11-30,-0.04390370862630699,137.8,7.0,4.81,0.4373177842565745,0.011834236654519215,-0.019143735843086374,-0.017071069271624717,0.0279267183190119
1991-12-31,0.11158785507428148,138.2,7.3,4.43,0.2902757619738683,-0.04390370862630699,0.011834236654519215,0.026506127700831234,0.07877724852817392
1992-01-31,-0.019923751783923582,138.3,7.3,4.03,0.07235890014474222,0.11158785507428148,-0.04390370862630699,0.015920131554683636,0.08371376574439418
1992-02-29,0.00958954312696414,138.6,7.4,4.06,0.2169197396963085,-0.019923751783923582,0.11158785507428148,0.03375121547244068,0.06900482224094484
1992-03-31,-0.02183186212532784,139.1,7.4,3.98,0.3607503607503615,0.00958954312696414,-0.019923751783923582,-0.010722023594095761,0.017616186541553093
1992-04-30,0.027892713957560433,139.4,7.4,3.73,0.21567217828901697,-0.02183186212532784,0.00958954312696414,0.005216798319732245,0.025149036552472886
1992-05-31,0.0009639568254424802,139.7,7.6,3.82,0.21520803443326741,0.027892713957560433,-0.02183186212532784,0.0023416028858916915,0.024890897897758547
1992-06-30,-0.017358833150663777,140.1,7.8,3.76,0.28632784538296097,0.0009639568254424802,0.027892713957560433,0.0038326125441130454,0.022761755603339474
1992-07-31,0.039373686063305824,140.5,7.7,3.25,0.2855103497501732,-0.017358833150663777,0.0009639568254424802,0.007659603246028175,0.02895286591743527
1992-08-31,-0.02399753160189122,140.8,7.6,3.3,0.2135231316725994,0.039373686063305824,-0.017358833150663777,-0.000660892896416391,0.0348294948806792
1992-09-30,0.009105593857418715,141.1,7.6,3.22,0.21306818181816567,-0.02399753160189122,0.039373686063305824,0.008160582772944439,0.03169617629233503
1992-10-31,0.002106282691536565,141.7,7.3,3.1,0.425230333097093,0.009105593857418715,-0.02399753160189122,-0.004261885017645313,0.01744618579440518
1992-11-30,0.03026180770368403,142.1,7.4,3.09,0.2822865208186309,0.002106282691536565,0.009105593857418715,0.013824561417546436,0.014658952496770348
1992-12-31,0.010107766987062838,142.3,7.4,2.92,0.14074595355384467,0.03026180770368403,0.002106282691536565,0.01415861912742781,0.014508288991977685
1993-01-31,0.007045987892006611,142.8,7.3,3.02,0.35137034434293835,0.010107766987062838,0.03026180770368403,0.015805187527584492,0.012613049710269829
1993-02-28,0.010483627595407663,143.1,7.1,3.03,0.21008403361342243,0.007045987892006611,0.010107766987062838,0.009212460824825705,0.0018856090596159488
1993-03-31,0.01869729905188877,143.3,7.0,3.07,0.13976240391335715,0.010483627595407663,0.007045987892006611,0.012075638179767681,0.005986579675543904
