,SP500_Return,Trading_Range,Volume,Volume_Change,Initial_Claims,Mortgage_Rate,Weekly_Economic_Index,Initial_Claims_WoW_Change,Mortgage_Rate_WoW_Change,Weekly_Economic_Index_WoW_Change,Returns_Lag1,Returns_Lag2,Returns_MA4,Returns_Vol4
2021-05-14,-0.013880356906983082,4.4248353190531615,22952900000,0.07857925592603254,494000.0,2.94,9.83,-4.448742746615086,-0.6756756756756799,-6.912878787878796,0.0123004270915128,0.00023922472499671166,-0.0006517651322137108,0.010707108354016559
2021-05-21,-0.004310225320526495,3.1346331813193866,20744780000,-0.09620222281280366,467000.0,3.0,9.85,-5.465587044534415,2.0408163265306145,0.20345879959307034,-0.013880356906983082,0.0123004270915128,-0.0014127326027500164,0.010872240364863941
2021-05-28,0.011610112368395376,1.1558238826633795,23343500000,0.1252710320379391,441000.0,2.95,9.75,-5.567451820128477,-1.6666666666666607,-1.015228426395931,-0.004310225320526495,-0.013880356906983082,0.0014299893080996495,0.012769208907031291
2021-06-04,0.006132159785514846,1.5880770217999909,20636100000,-0.1159808940390259,427000.0,2.99,9.84,-3.1746031746031744,1.3559322033898313,0.9230769230769154,0.011610112368395376,-0.004310225320526495,-0.00011207751839983904,0.011307669927093436
2021-06-11,0.0041489977565030145,0.9820829384612101,22073020000,0.06963137414530851,420000.0,2.96,8.2,-1.6393442622950838,-1.0033444816053616,-16.666666666666675,0.006132159785514846,0.011610112368395376,0.004395261147471685,0.006605983028566847
2021-06-18,-0.019067896712139487,2.22745788304442,24868180000,0.12663242274958297,428000.0,2.93,9.0,1.904761904761898,-1.0135135135135087,9.756097560975618,0.0041489977565030145,0.006132159785514846,0.0007058432995684372,0.013554877365681157
2021-06-25,0.027421424628701452,2.700920531973156,22845800000,-0.08132400521469607,422000.0,3.02,8.67,-1.4018691588784993,3.0716723549488067,-3.6666666666666625,-0.019067896712139487,0.0041489977565030145,0.004658671364644956,0.019004595095010433
2021-07-02,0.016735497738418426,1.8892746196138135,19135150000,-0.1624215391888224,372000.0,2.98,8.24,-11.848341232227488,-1.3245033112582738,-4.959630911188007,0.027421424628701452,-0.019067896712139487,0.007309505852870851,0.019992455054977154
2021-07-09,0.00395418592190433,1.9170642360577508,16225570000,-0.15205420391269475,370000.0,2.9,8.6,-0.5376344086021501,-2.684563758389269,4.3689320388349495,0.016735497738418426,0.027421424628701452,0.00726080289422118,0.020002955197295676
2021-07-16,-0.00970114779147857,1.6460358669900539,18977190000,0.1695854136403221,339000.0,2.88,6.77,-8.378378378378383,-0.6896551724137945,-21.27906976744186,0.00395418592190433,0.016735497738418426,0.00960249012438641,0.016051251266298135
2021-07-23,0.01955783464364358,4.300607304961676,21304580000,0.12264144480821448,388000.0,2.78,7.39,14.454277286135685,-3.472222222222221,9.158050221565727,-0.00970114779147857,0.00395418592190433,0.007636592628121941,0.01340476839792805
2021-07-30,-0.003746840464106227,1.3141296943572793,20734210000,-0.02677217762565609,381000.0,2.8,7.3,-1.8041237113402109,0.7194244604316502,-1.2178619756427533,0.01955783464364358,-0.00970114779147857,0.002516008077490778,0.012661942684078643
2021-08-06,0.009387443770432657,1.550876382774983,19171320000,-0.07537735944605561,381000.0,2.77,7.26,0.0,-1.0714285714285676,-0.5479452054794498,-0.003746840464106227,0.01955783464364358,0.0038743225396228598,0.01314968412627724
2021-08-13,0.007095647113089409,0.986043937077874,17260230000,-0.09968484173233771,361000.0,2.87,6.66,-5.249343832021003,3.6101083032491044,-8.264462809917351,0.009387443770432657,-0.003746840464106227,0.008073521265764855,0.009561956483779464
2021-08-20,-0.005893034495299876,2.5763906115865973,19014210000,0.1016197350788488,368000.0,2.86,7.06,1.939058171745156,-0.34843205574913716,6.006006006006004,0.007095647113089409,0.009387443770432657,0.001710803981028991,0.007649217312396023
2021-08-27,0.015242059068612868,1.4165377651605835,17595630000,-0.07460630759836984,360000.0,2.87,6.41,-2.1739130434782594,0.34965034965035446,-9.206798866855515,-0.005893034495299876,0.007095647113089409,0.006458028864208765,0.008919939862775629
2021-09-03,0.005779090630512185,0.710944615963774,18470230000,0.049705523473726254,353000.0,2.87,7.06,-1.9444444444444486,0.0,10.140405616224646,0.015242059068612868,-0.005893034495299876,0.0055559405792286465,0.008704795877434002
2021-09-10,-0.016944389986780495,1.743509460978775,14932410000,-0.1915417404114621,338000.0,2.88,6.74,-4.249291784702547,0.34843205574912606,-4.532577903682711,0.005779090630512185,0.015242059068612868,-0.0004540686957388296,0.01398491743786698
2021-09-17,-0.005739460389093565,1.4732160777198895,22890790000,0.5329601852614547,344000.0,2.86,6.76,1.775147928994092,-0.694444444444442,0.29673590504450953,-0.016944389986780495,0.005779090630512185,-0.0004156751691872518,0.01396520518244937
2021-09-24,0.00507326768269345,3.703972918762638,20058800000,-0.12371744269201723,367000.0,2.88,6.62,6.686046511627897,0.6993006993007089,-2.071005917159763,-0.005739460389093565,-0.016944389986780495,-0.0029578730156671063,0.010711265719960136
2021-10-01,-0.02209412719567272,3.935618450830928,20646370000,0.02929238040161919,369000.0,3.01,6.63,0.5449591280654031,4.513888888888884,0.15105740181269312,0.00507326768269345,-0.005739460389093565,-0.009926177472213332,0.012108210193382778
2021-10-08,0.007872272088387922,3.5296189127596107,19344290000,-0.06306580769404013,315000.0,2.99,6.65,-14.634146341463417,-0.6644518272425071,0.3016591251885359,-0.02209412719567272,0.00507326768269345,-0.003722011953421228,0.013581716668433087
2021-10-15,0.01822456841991027,3.369575072431604,17878150000,-0.07579187450146785,291000.0,3.05,6.08,-7.619047619047614,2.006688963210679,-8.571428571428575,0.007872272088387922,-0.02209412719567272,0.0022689952488297305,0.017198863389650588
2021-10-22,0.016444575874765777,2.522775906554145,18372450000,0.027648274569796127,291000.0,3.09,6.52,0.0,1.3114754098360715,7.2368421052631415,0.01822456841991027,0.007872272088387922,0.005111822296847812,0.018691880459947508
2021-10-29,0.013307219469797626,1.5586203645881367,20648340000,0.12387515002081928,268000.0,3.14,5.54,-7.903780068728528,1.6181229773462924,-15.030674846625757,0.016444575874765777,0.01822456841991027,0.013962158963215399,0.004540418335627788
2021-11-05,0.020009185927887918,2.686361871927893,21195930000,0.026519807403403872,261000.0,3.09,5.9,-2.6119402985074647,-1.5923566878981,6.498194945848379,0.013307219469797626,0.016444575874765777,0.016996387423090398,0.002857728676410322
2021-11-12,-0.003124980185625681,1.8152149077166904,20545980000,-0.03066390575926603,251000.0,2.98,5.44,-3.831417624521072,-3.5598705501618033,-7.796610169491524,0.020009185927887918,0.013307219469797626,0.01165900027170641,0.01022920718715186
2021-11-19,0.0032266382579302366,0.9623867785638923,19909710000,-0.03096810178925513,248000.0,3.1,5.41,-1.195219123505975,4.026845637583887,-0.5514705882353033,-0.003124980185625681,0.020009185927887918,0.008354515867497525,0.010302662529676125
2021-11-26,-0.021996748505574315,3.4544174978471323,15654820000,-0.2137092905923793,223000.0,3.1,5.82,-10.080645161290324,0.0,7.578558225508325,0.0032266382579302366,-0.003124980185625681,-0.0004714761263454603,0.017354269435996814
2021-12-03,-0.012229507548633944,3.956069548509962,26646380000,0.7021198582928452,222000.0,3.11,6.4,-0.4484304932735439,0.3225806451612856,9.965635738831624,-0.021996748505574315,0.0032266382579302366,-0.008531149495475926,0.010992003888449176
2021-12-10,0.03824887395565546,3.8114676000466288,21271750000,-0.20170206984963812,208000.0,3.1,5.67,-6.3063063063063085,-0.3215434083601254,-11.406250000000007,-0.012229507548633944,-0.021996748505574315,0.0018123140398443593,0.026417591514662338
2021-12-17,-0.019392931785886303,2.8644285137929137,26609380000,0.25092575834146236,228000.0,3.12,6.18,9.615384615384626,0.6451612903225712,8.994708994709,0.03824887395565546,-0.012229507548633944,-0.0038425784711097755,0.028363229274306914
2021-12-24,0.022756566023862668,4.626694008088414,14940780000,-0.4385145388581019,213000.0,3.05,5.43,-6.578947368421051,-2.243589743589758,-12.135922330097094,-0.019392931785886303,0.03824887395565546,0.00734575016124947,0.02763237311851321
2021-12-31,0.008546748032581375,1.5830185043916523,14244290000,-0.0466167094355181,195000.0,3.11,6.32,-8.450704225352112,1.967213114754096,16.390423572744027,0.022756566023862668,-0.019392931785886303,0.0125398140565533,0.024501582363640605
2022-01-07,-0.018704788181950538,3.343096011725267,21878940000,0.5359796802789047,225000.0,3.22,5.5,15.384615384615374,3.536977491961424,-12.9746835443038,0.008546748032581375,0.022756566023862668,-0.0016986014778481995,0.02085922749761958
2022-01-14,-0.003031771904682512,3.6355545591057865,21251840000,-0.028662266087845167,247000.0,3.45,4.56,9.777777777777775,7.14285714285714,-17.0909090909091,-0.018704788181950538,0.008546748032581375,0.002391688492452748,0.017579232497133255
2022-01-21,-0.056812925721793084,5.389808275277349,19444410000,-0.0850481652412215,244000.0,3.56,4.89,-1.2145748987854255,3.1884057971014457,7.236842105263164,-0.003031771904682512,-0.018704788181950538,-0.01750068444396119,0.028488128222048683
2022-01-28,0.007710463694771796,5.461297888071661,27889090000,0.4342985979003735,237000.0,3.55,5.01,-2.868852459016391,-0.2808988764045006,2.4539877300613577,-0.056812925721793084,-0.003031771904682512,-0.017709755528413584,0.028235195281582755
2022-02-04,0.015496843527338822,4.107141296603186,23505280000,-0.15718727287265377,230000.0,3.55,5.39,-2.9535864978902926,0.0,7.584830339321358,0.007710463694771796,-0.056812925721793084,-0.009159347601091244,0.032664603603599025
2022-02-11,-0.018195557489162795,4.285436308143431,23778810000,0.011636959866038632,209000.0,3.69,5.19,-9.130434782608699,3.9436619718309807,-3.7105751391465547,0.015496843527338822,0.007710463694771796,-0.012950293997211315,0.03259626661983344
2022-02-18,-0.015789930243801376,3.751359574604213,22562340000,-0.05115773245170807,232000.0,3.92,5.08,11.004784688995217,6.233062330623307,-2.1194605009633993,-0.018195557489162795,0.015496843527338822,-0.002694545127713388,0.016842024080294223
